DATA,VENDAS,FECHADO,ABERTO,FDS,DS,DATA_FESTIVA,VESPERA_DATA_FESTIVA,POS_DATA_FESTIVA,DATA_NAO_FESTIVA,FERIADO,NAO_FERIADO,SEMANA_PAGAMENTO,SEMANA_DE_NAO_PAGAMENTO,BAIXA_TEMPORADA,ALTA_TEMPORADA,QTD_CONCORRENTES,PRECIPITACAO,TEMPERATURA,UMIDADE
2018-02-14,132,0,1,0,1,0,0,1,0,0,1,0,1,1,0,7,5,30,70
2018-02-15,149,0,1,0,1,0,0,1,0,0,1,0,1,1,0,7,5,30,65
2018-02-16,130,0,1,0,1,0,0,0,1,0,1,0,1,1,0,7,5,35,65
2018-02-17,174,0,1,1,0,0,0,0,1,0,1,0,1,1,0,7,5,35,70
2018-02-18,185,0,1,1,0,0,0,0,1,0,1,0,1,1,0,7,5,35,60
2018-02-19,121,0,1,0,1,0,0,0,1,0,1,0,1,1,0,7,5,30,75
2018-02-20,110,0,1,0,1,0,0,0,1,0,1,0,1,1,0,7,5,30,95
2018-02-21,105,0,1,0,1,0,0,0,1,0,1,0,1,1,0,7,30,30,85
2018-02-22,129,0,1,0,1,0,0,0,1,0,1,0,1,1,0,7,15,30,75
2018-02-23,143,0,1,0,1,0,0,0,1,0,1,0,1,1,0,7,5,30,75
2018-02-24,201,0,1,1,0,0,0,0,1,0,1,0,1,1,0,7,5,30,80
2018-02-25,224,0,1,1,0,0,0,0,1,0,1,0,1,1,0,8,5,30,75
2018-02-26,154,0,1,0,1,0,0,0,1,0,1,0,1,1,0,8,5,30,75
2018-02-27,161,0,1,0,1,0,0,0,1,0,1,0,1,1,0,8,5,30,85
2018-02-28,116,0,1,0,1,0,0,0,1,0,1,1,0,1,0,8,30,30,85
2018-03-01,116,0,1,0,1,0,0,0,1,0,1,0,1,0,1,8,5,35,85
2018-03-02,109,0,1,0,1,0,0,0,1,0,1,0,1,0,1,8,5,30,80
2018-03-03,124,0,1,1,0,0,0,0,1,0,1,0,1,0,1,8,5,30,75
2018-03-04,139,0,1,1,0,0,0,0,1,0,1,0,1,0,1,8,5,35,80
2018-03-05,107,0,1,0,1,0,0,0,1,0,1,1,0,0,1,8,10,35,80
2018-03-06,116,0,1,0,1,0,0,0,1,0,1,1,0,0,1,8,5,30,85
2018-03-07,139,0,1,0,1,0,0,0,1,0,1,1,0,0,1,8,5,30,65
2018-03-08,150,0,1,0,1,0,0,0,1,0,1,1,0,0,1,8,5,30,70
2018-03-09,168,0,1,0,1,0,0,0,1,0,1,1,0,0,1,8,5,30,80
2018-03-10,131,0,1,1,0,0,0,0,1,0,1,1,0,0,1,8,5,35,75
2018-03-11,146,0,1,1,0,0,0,0,1,0,1,0,1,0,1,8,5,35,65
2018-03-12,139,0,1,0,1,0,0,0,1,0,1,0,1,0,1,8,10,25,65
2018-03-13,155,0,1,0,1,0,0,0,1,0,1,0,1,0,1,8,5,30,60
2018-03-14,186,0,1,0,1,0,0,0,1,0,1,0,1,0,1,8,5,35,65
2018-03-15,120,0,1,0,1,0,0,0,1,0,1,0,1,0,1,8,35,30,80
2018-03-16,133,0,1,0,1,0,0,0,1,0,1,0,1,0,1,8,5,30,70
2018-03-17,179,0,1,1,0,0,0,0,1,0,1,0,1,0,1,8,5,35,75
2018-03-18,165,0,1,1,0,0,0,0,1,0,1,0,1,0,1,8,5,40,65
2018-03-19,149,0,1,0,1,0,0,0,1,0,1,0,1,0,1,8,10,30,75
2018-03-20,155,0,1,0,1,0,0,0,1,0,1,0,1,0,1,8,5,25,85
2018-03-21,160,0,1,0,1,0,0,0,1,0,1,0,1,0,1,8,5,25,80
2018-03-22,178,0,1,0,1,0,0,0,1,0,1,0,1,0,1,8,5,30,65
2018-03-23,149,0,1,0,1,0,0,0,1,0,1,0,1,0,1,8,5,35,70
2018-03-24,188,0,1,1,0,0,0,0,1,0,1,0,1,0,1,8,5,30,95
2018-03-25,174,0,1,1,0,0,0,0,1,0,1,0,1,0,1,8,30,25,80
2018-03-26,166,0,1,0,1,0,0,0,1,0,1,0,1,0,1,8,5,25,90
2018-03-27,130,0,1,0,1,0,0,0,1,0,1,0,1,0,1,8,5,25,90
2018-03-28,139,0,1,0,1,0,0,0,1,0,1,1,0,0,1,8,5,30,90
2018-03-29,120,0,1,0,1,0,0,0,1,0,1,1,0,0,1,8,5,30,90
2018-03-30,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,8,5,30,85
2018-03-31,108,0,1,1,0,0,0,0,1,0,1,1,0,0,1,8,5,25,95
2018-04-01,129,0,1,1,0,0,0,0,1,0,1,0,1,0,1,8,20,30,95
2018-04-02,139,0,1,0,1,0,0,0,1,0,1,0,1,0,1,8,10,25,95
2018-04-03,145,0,1,0,1,0,0,0,1,0,1,0,1,0,1,8,25,30,85
2018-04-04,159,0,1,0,1,0,0,0,1,0,1,0,1,0,1,8,5,30,90
2018-04-05,166,0,1,0,1,0,0,0,1,0,1,1,0,0,1,8,5,30,80
2018-04-06,175,0,1,0,1,0,0,0,1,0,1,1,0,0,1,8,5,30,85
2018-04-07,153,0,1,1,0,0,0,0,1,0,1,1,0,0,1,8,5,30,75
2018-04-08,111,0,1,1,0,0,0,0,1,0,1,1,0,0,1,8,5,30,80
2018-04-09,139,0,1,0,1,0,0,0,1,0,1,1,0,0,1,8,5,35,80
2018-04-10,140,0,1,0,1,0,0,0,1,0,1,1,0,0,1,8,5,35,75
2018-04-11,125,0,1,0,1,0,0,0,1,0,1,0,1,0,1,8,5,35,65
2018-04-12,138,0,1,0,1,0,0,0,1,0,1,0,1,0,1,8,5,35,65
2018-04-13,144,0,1,0,1,0,0,0,1,0,1,0,1,0,1,8,5,30,85
2018-04-14,121,0,1,1,0,0,0,0,1,0,1,0,1,0,1,8,5,25,80
2018-04-15,106,0,1,1,0,0,0,0,1,0,1,0,1,0,1,8,5,30,75
2018-04-16,134,0,1,0,1,0,0,0,1,0,1,0,1,0,1,8,5,30,70
2018-04-17,161,0,1,0,1,0,0,0,1,0,1,0,1,0,1,8,5,30,70
2018-04-18,130,0,1,0,1,0,0,0,1,0,1,0,1,0,1,8,5,30,65
