DATA,VENDAS,IS_FDS,IS_FERIADO,IS_DATA_FESTIVA,IS_VESPERA_DATA_FESTIVA,IS_POS_DATA_FESTIVA,IS_SEMANA_PAGAMENTO,IS_BAIXA_TEMPORADA,QTD_CONCORRENTES,PRECIPITACAO,TEMPERATURA,UMIDADE
2018-02-14,132,False,False,False,False,True,False,True,7,0.0,28.0,66.75
2018-02-15,149,False,False,False,False,True,False,True,7,0.0,28.6,61.5
2018-02-16,130,False,False,False,False,False,False,True,7,0.0,30.6,65.25
2018-02-17,174,True,False,False,False,False,False,True,7,0.0,31.5,65.75
2018-02-18,185,True,False,False,False,False,False,True,7,0.0,33.4,58.5
2018-02-19,121,False,False,False,False,False,False,True,7,0.0,29.0,75.25
2018-02-20,110,False,False,False,False,False,False,True,7,3.3,26.1,91.75
2018-02-21,105,False,False,False,False,False,False,True,7,27.0,29.2,82.75
2018-02-22,129,False,False,False,False,False,False,True,7,15.0,27.8,73.75
2018-02-23,143,False,False,False,False,False,False,True,7,0.0,28.8,73.5
2018-02-24,201,True,False,False,False,False,False,True,7,0.0,29.8,80.5
2018-02-25,224,True,False,False,False,False,False,True,8,0.0,29.8,74.0
2018-02-26,154,False,False,False,False,False,False,True,8,0.0,29.8,74.0
2018-02-27,161,False,False,False,False,False,False,True,8,0.0,30.5,85.25
2018-02-28,116,False,False,False,False,False,True,True,8,26.4,29.4,81.5
2018-03-01,116,False,False,False,False,False,False,False,8,0.0,31.0,82.5
2018-03-02,109,False,False,False,False,False,False,False,8,0.0,30.4,75.75
2018-03-03,124,True,False,False,False,False,False,False,8,0.0,29.8,74.0
2018-03-04,139,True,False,False,False,False,False,False,8,0.0,32.8,80.25
2018-03-05,107,False,False,False,False,False,True,False,8,8.2,31.5,79.5
2018-03-06,116,False,False,False,False,False,True,False,8,0.0,28.2,85.0
2018-03-07,139,False,False,False,False,False,True,False,8,0.7,26.7,63.0
2018-03-08,150,False,False,False,False,False,True,False,8,0.0,28.1,69.0
2018-03-09,168,False,False,False,False,False,True,False,8,0.0,27.8,76.75
2018-03-10,131,True,False,False,False,False,True,False,8,0.0,33.3,70.75
2018-03-11,146,True,False,False,False,False,False,False,8,0.0,34.7,63.25
2018-03-12,139,False,False,False,False,False,False,False,8,7.5,25.4,63.75
2018-03-13,155,False,False,False,False,False,False,False,8,0.0,28.8,58.0
2018-03-14,186,False,False,False,False,False,False,False,8,0.0,32.6,61.5
2018-03-15,120,False,False,False,False,False,False,False,8,33.3,27.3,79.25
2018-03-16,133,False,False,False,False,False,False,False,8,1.9,27.3,65.75
2018-03-17,179,True,False,False,False,False,False,False,8,0.0,33.0,72.75
2018-03-18,165,True,False,False,False,False,False,False,8,0.0,36.4,63.75
2018-03-19,149,False,False,False,False,False,False,False,8,7.5,29.0,74.0
2018-03-20,155,False,False,False,False,False,False,False,8,4.4,22.6,84.0
2018-03-21,160,False,False,False,False,False,False,False,8,2.0,24.8,76.0
2018-03-22,178,False,False,False,False,False,False,False,8,0.0,26.0,63.75
2018-03-23,149,False,False,False,False,False,False,False,8,0.0,33.1,70.0
2018-03-24,188,True,False,False,False,False,False,False,8,0.0,29.2,91.25
2018-03-25,174,True,False,False,False,False,False,False,8,26.9,24.1,78.5
2018-03-26,166,False,False,False,False,False,False,False,8,3.2,22.8,87.0
2018-03-27,130,False,False,False,False,False,False,False,8,0.6,22.9,89.75
2018-03-28,139,False,False,False,False,False,True,False,8,0.8,27.1,88.0
2018-03-29,120,False,False,False,False,False,True,False,8,0.0,26.9,88.5
