DATA;CONCORRENTES
14/02/18;7
15/02/18;7
16/02/18;7
17/02/18;7
18/02/18;7
19/02/18;7
20/02/18;7
21/02/18;7
22/02/18;7
23/02/18;7
24/02/18;7
25/02/18;8
26/02/18;8
27/02/18;8
28/02/18;8
01/03/18;8
02/03/18;8
03/03/18;8
04/03/18;8
05/03/18;8
06/03/18;8
07/03/18;8
08/03/18;8
09/03/18;8
10/03/18;8
11/03/18;8
12/03/18;8
13/03/18;8
14/03/18;8
15/03/18;8
16/03/18;8
17/03/18;8
18/03/18;8
19/03/18;8
20/03/18;8
21/03/18;8
22/03/18;8
23/03/18;8
24/03/18;8
25/03/18;8
26/03/18;8
27/03/18;8
28/03/18;8
29/03/18;8
30/03/18;8
31/03/18;8
01/04/18;8
02/04/18;8
03/04/18;8
04/04/18;8
05/04/18;8
06/04/18;8
07/04/18;8
08/04/18;8
09/04/18;8
10/04/18;8
11/04/18;8
12/04/18;8
13/04/18;8
14/04/18;8
15/04/18;8
16/04/18;8
17/04/18;8
18/04/18;8
19/04/18;8
20/04/18;8
21/04/18;8
22/04/18;8
23/04/18;8
24/04/18;8
25/04/18;8
26/04/18;8
27/04/18;8
28/04/18;8
29/04/18;8
30/04/18;8
01/05/18;8
02/05/18;8
03/05/18;8
04/05/18;8
05/05/18;8
06/05/18;8
07/05/18;8
08/05/18;8
09/05/18;8
10/05/18;8
11/05/18;8
12/05/18;8
13/05/18;8
14/05/18;8
15/05/18;8
16/05/18;8
17/05/18;8
18/05/18;8
19/05/18;8
20/05/18;8
21/05/18;8
22/05/18;8
23/05/18;8
24/05/18;8
25/05/18;8
26/05/18;9
27/05/18;9
28/05/18;9
29/05/18;9
30/05/18;9
31/05/18;9
01/06/18;9
02/06/18;9
03/06/18;9
04/06/18;9
05/06/18;9
06/06/18;9
07/06/18;9
08/06/18;9
09/06/18;9
10/06/18;9
11/06/18;9
12/06/18;9
13/06/18;9
14/06/18;9
15/06/18;9
16/06/18;9
17/06/18;9
18/06/18;9
19/06/18;9
20/06/18;9
21/06/18;9
22/06/18;9
23/06/18;9
24/06/18;9
25/06/18;9
26/06/18;9
27/06/18;9
28/06/18;9
29/06/18;9
30/06/18;9
01/07/18;9
02/07/18;9
03/07/18;9
04/07/18;9
05/07/18;9
06/07/18;9
07/07/18;9
08/07/18;9
09/07/18;9
10/07/18;9
11/07/18;9
12/07/18;9
13/07/18;9
14/07/18;9
15/07/18;9
16/07/18;9
17/07/18;9
18/07/18;9
19/07/18;9
20/07/18;9
21/07/18;9
22/07/18;9
23/07/18;9
24/07/18;9
25/07/18;9
26/07/18;9
27/07/18;9
28/07/18;9
29/07/18;9
30/07/18;9
31/07/18;9
01/08/18;9
02/08/18;9
03/08/18;9
04/08/18;9
05/08/18;9
06/08/18;9
07/08/18;9
08/08/18;9
09/08/18;9
10/08/18;9
11/08/18;9
12/08/18;9
13/08/18;9
14/08/18;9
15/08/18;9
16/08/18;9
17/08/18;9
18/08/18;9
19/08/18;9
20/08/18;10
21/08/18;10
22/08/18;10
23/08/18;10
24/08/18;10
25/08/18;10
26/08/18;10
27/08/18;10
28/08/18;10
29/08/18;10
30/08/18;10
31/08/18;10
01/09/18;10
02/09/18;10
03/09/18;10
04/09/18;10
05/09/18;10
06/09/18;10
07/09/18;10
08/09/18;10
09/09/18;10
10/09/18;10
11/09/18;10
12/09/18;10
13/09/18;10
14/09/18;10
15/09/18;10
16/09/18;10
17/09/18;10
18/09/18;10
19/09/18;10
20/09/18;10
21/09/18;10
22/09/18;10
23/09/18;10
24/09/18;10
25/09/18;10
26/09/18;10
27/09/18;10
28/09/18;10
29/09/18;10
30/09/18;10
01/10/18;10
02/10/18;10
03/10/18;10
04/10/18;10
05/10/18;10
06/10/18;10
07/10/18;10
08/10/18;10
09/10/18;10
10/10/18;10
11/10/18;10
12/10/18;10
13/10/18;10
14/10/18;10
15/10/18;10
16/10/18;10
17/10/18;10
18/10/18;10
19/10/18;10
20/10/18;10
21/10/18;10
22/10/18;10
23/10/18;10
24/10/18;10
25/10/18;10
26/10/18;10
27/10/18;10
28/10/18;10
