DATA;VENDAS
14/02/18;132
15/02/18;149
16/02/18;130
17/02/18;174
18/02/18;185
19/02/18;121
20/02/18;110
21/02/18;105
22/02/18;129
23/02/18;143
24/02/18;201
25/02/18;224
26/02/18;154
27/02/18;161
28/02/18;116
01/03/18;116
02/03/18;109
03/03/18;124
04/03/18;139
05/03/18;107
06/03/18;116
07/03/18;139
08/03/18;150
09/03/18;168
10/03/18;131
11/03/18;146
12/03/18;139
13/03/18;155
14/03/18;186
15/03/18;120
16/03/18;133
17/03/18;179
18/03/18;165
19/03/18;149
20/03/18;155
21/03/18;160
22/03/18;178
23/03/18;149
24/03/18;188
25/03/18;174
26/03/18;166
27/03/18;130
28/03/18;139
29/03/18;120
30/03/18;0
31/03/18;108
01/04/18;129
02/04/18;139
03/04/18;145
04/04/18;159
05/04/18;166
06/04/18;175
07/04/18;153
08/04/18;111
09/04/18;139
10/04/18;140
11/04/18;125
12/04/18;138
13/04/18;144
14/04/18;121
15/04/18;106
16/04/18;134
17/04/18;161
18/04/18;130
19/04/18;145
20/04/18;158
21/04/18;86
22/04/18;99
23/04/18;116
24/04/18;140
25/04/18;131
26/04/18;147
27/04/18;128
28/04/18;99
29/04/18;105
30/04/18;98
01/05/18;79
02/05/18;121
03/05/18;110
04/05/18;140
05/05/18;166
06/05/18;159
07/05/18;149
08/05/18;160
09/05/18;189
10/05/18;206
11/05/18;230
12/05/18;206
13/05/18;225
14/05/18;140
15/05/18;127
16/05/18;109
17/05/18;116
18/05/18;129
19/05/18;144
20/05/18;136
21/05/18;110
22/05/18;139
23/05/18;155
24/05/18;126
25/05/18;181
26/05/18;141
27/05/18;127
28/05/18;137
29/05/18;108
30/05/18;124
31/05/18;89
01/06/18;106
02/06/18;139
03/06/18;163
04/06/18;149
05/06/18;161
06/06/18;139
07/06/18;150
08/06/18;144
09/06/18;166
10/06/18;186
11/06/18;155
12/06/18;139
13/06/18;167
14/06/18;175
15/06/18;147
16/06/18;129
17/06/18;177
18/06/18;149
19/06/18;138
20/06/18;140
21/06/18;138
22/06/18;155
23/06/18;149
24/06/18;179
25/06/18;148
26/06/18;129
27/06/18;116
28/06/18;146
29/06/18;139
30/06/18;177
01/07/18;195
02/07/18;149
03/07/18;131
04/07/18;157
05/07/18;170
06/07/18;145
07/07/18;163
08/07/18;188
09/07/18;161
10/07/18;149
11/07/18;130
12/07/18;114
13/07/18;129
14/07/18;138
15/07/18;164
16/07/18;139
17/07/18;110
18/07/18;101
19/07/18;133
20/07/18;109
21/07/18;139
22/07/18;155
23/07/18;129
24/07/18;115
25/07/18;133
26/07/18;90
27/07/18;81
28/07/18;104
29/07/18;155
30/07/18;133
31/07/18;125
01/08/18;149
02/08/18;120
03/08/18;151
04/08/18;123
05/08/18;177
06/08/18;144
07/08/18;99
08/08/18;164
09/08/18;154
10/08/18;186
11/08/18;170
12/08/18;153
13/08/18;139
14/08/18;106
15/08/18;131
16/08/18;121
17/08/18;149
18/08/18;155
19/08/18;188
20/08/18;141
21/08/18;109
22/08/18;121
23/08/18;144
24/08/18;130
25/08/18;112
26/08/18;134
27/08/18;163
28/08/18;132
29/08/18;119
30/08/18;124
31/08/18;91
01/09/18;104
02/09/18;111
03/09/18;103
04/09/18;134
05/09/18;119
06/09/18;106
07/09/18;129
08/09/18;113
09/09/18;155
10/09/18;136
11/09/18;104
12/09/18;129
13/09/18;109
14/09/18;128
15/09/18;159
16/09/18;177
17/09/18;130
18/09/18;152
19/09/18;105
20/09/18;129
21/09/18;115
22/09/18;148
23/09/18;109
24/09/18;130
25/09/18;123
26/09/18;109
27/09/18;143
28/09/18;129
29/09/18;151
30/09/18;166
01/10/18;131
02/10/18;155
03/10/18;148
04/10/18;104
05/10/18;121
06/10/18;132
07/10/18;122
08/10/18;109
09/10/18;128
10/10/18;100
11/10/18;89
12/10/18;69
13/10/18;88
14/10/18;73
15/10/18;104
16/10/18;111
17/10/18;125
18/10/18;101
19/10/18;153
20/10/18;131
21/10/18;121
22/10/18;141
23/10/18;144
24/10/18;163
25/10/18;104
26/10/18;130
27/10/18;128
28/10/18;116
29/10/18;104
30/10/18;129
31/10/18;136
01/11/18;88
02/11/18;0
03/11/18;90
04/11/18;122
05/11/18;108
06/11/18;115
07/11/18;129
08/11/18;100
09/11/18;109
10/11/18;73
11/11/18;153
12/11/18;104
13/11/18;106
14/11/18;125
15/11/18;123
16/11/18;89
17/11/18;106
18/11/18;122
19/11/18;89
20/11/18;148
21/11/18;131
22/11/18;154
23/11/18;148
24/11/18;107
25/11/18;139
26/11/18;119
27/11/18;148
28/11/18;137
29/11/18;151
30/11/18;164
01/12/18;128
02/12/18;158
03/12/18;139
04/12/18;151
05/12/18;166
06/12/18;128
07/12/18;155
08/12/18;139
09/12/18;167
10/12/18;149
11/12/18;153
12/12/18;149
13/12/18;186
14/12/18;155
15/12/18;161
16/12/18;183
17/12/18;152
18/12/18;139
19/12/18;168
20/12/18;175
21/12/18;164
22/12/18;239
23/12/18;261
24/12/18;229
25/12/18;0
26/12/18;139
27/12/18;108
28/12/18;126
29/12/18;0
30/12/18;0
31/12/18;0
01/01/19;0
02/01/19;87
03/01/19;99
04/01/19;81
05/01/19;79
06/01/19;89
07/01/19;105
08/01/19;87
09/01/19;98
10/01/19;101
11/01/19;85
12/01/19;69
13/01/19;86
14/01/19;94
15/01/19;128
16/01/19;113
17/01/19;97
18/01/19;100
19/01/19;78
20/01/19;104
21/01/19;128
22/01/19;119
23/01/19;130
24/01/19;125
25/01/19;117
26/01/19;105
27/01/19;120
28/01/19;106
29/01/19;98
30/01/19;86
31/01/19;127
01/02/19;106
02/02/19;95
03/02/19;108
04/02/19;117
05/02/19;126
06/02/19;148
07/02/19;131
08/02/19;134
09/02/19;159
10/02/19;130
11/02/19;139
12/02/19;117
13/02/19;142
14/02/19;128
15/02/19;99
16/02/19;128
17/02/19;105
18/02/19;138
19/02/19;118
20/02/19;122
21/02/19;131
22/02/19;107
23/02/19;150
24/02/19;145
25/02/19;149
26/02/19;138
27/02/19;163
28/02/19;141
01/03/19;130
02/03/19;107
03/03/19;0
04/03/19;0
05/03/19;0
06/03/19;63
07/03/19;85
08/03/19;77
09/03/19;62
10/03/19;112
11/03/19;134
12/03/19;136
13/03/19;143
14/03/19;120
15/03/19;139
16/03/19;148
17/03/19;127
18/03/19;118
19/03/19;127
20/03/19;133
21/03/19;126
22/03/19;113
23/03/19;136
24/03/19;153
25/03/19;127
26/03/19;129
27/03/19;118
28/03/19;120
29/03/19;114
30/03/19;137
31/03/19;122
01/04/19;131
02/04/19;127
03/04/19;138
04/04/19;120
05/04/19;108
06/04/19;128
07/04/19;100
08/04/19;110
09/04/19;127
10/04/19;118
11/04/19;107
12/04/19;121
13/04/19;138
14/04/19;105
15/04/19;128
16/04/19;121
17/04/19;134
18/04/19;116
19/04/19;0
20/04/19;129
21/04/19;143
22/04/19;128
23/04/19;118
24/04/19;137
25/04/19;130
26/04/19;127
27/04/19;130
28/04/19;148
29/04/19;127
30/04/19;117
01/05/19;90
02/05/19;113
03/05/19;120
